,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,
0,01/01/2018,295602.1349,-63976.15741,939331.9764,295602.1349,295602.1349,136382.1814,136382.1814,136382.1814,136382.1814,136382.1814,136382.1814,0,0,0,431984.3162,
1,01/02/2018,338606.5226,-197131.8426,859570.083,338606.5226,338606.5226,10595.66335,10595.66335,10595.66335,10595.66335,10595.66335,10595.66335,0,0,0,349202.186,
2,01/03/2018,377449.1954,-292439.6509,775673.2474,377449.1954,377449.1954,-140670.3145,-140670.3145,-140670.3145,-140670.3145,-140670.3145,-140670.3145,0,0,0,236778.881,
3,01/04/2018,420453.5832,-193484.9584,833497.5487,420453.5832,420453.5832,-98502.07242,-98502.07242,-98502.07242,-98502.07242,-98502.07242,-98502.07242,0,0,0,321951.5108,
4,01/05/2018,462070.7326,42363.42471,1110306.262,462070.7326,462070.7326,117616.9499,117616.9499,117616.9499,117616.9499,117616.9499,117616.9499,0,0,0,579687.6826,
5,01/06/2018,505075.1204,353749.9714,1396977.408,505075.1204,505075.1204,370705.3238,370705.3238,370705.3238,370705.3238,370705.3238,370705.3238,0,0,0,875780.4442,
6,01/07/2018,546692.2698,411564.9474,1413574.765,546692.2698,546692.2698,373238.3994,373238.3994,373238.3994,373238.3994,373238.3994,373238.3994,0,0,0,919930.6691,
7,01/08/2018,589696.6575,32076.25423,1083031.432,589696.6575,589696.6575,-53447.95819,-53447.95819,-53447.95819,-53447.95819,-53447.95819,-53447.95819,0,0,0,536248.6993,
8,01/09/2018,632701.0453,600058.8084,1570983.107,632701.0453,632701.0453,470993.5577,470993.5577,470993.5577,470993.5577,470993.5577,470993.5577,0,0,0,1103694.603,
9,01/10/2018,674318.1947,280947.1829,1313343.089,674318.1947,674318.1947,139266.7693,139266.7693,139266.7693,139266.7693,139266.7693,139266.7693,0,0,0,813584.964,
10,01/11/2018,717322.5825,-59332.90863,952384.0096,717322.5825,717322.5825,-287606.1735,-287606.1735,-287606.1735,-287606.1735,-287606.1735,-287606.1735,0,0,0,429716.4089,
11,01/12/2018,758939.7319,393551.2769,1408638.8,758939.7319,758939.7319,129640.9847,129640.9847,129640.9847,129640.9847,129640.9847,129640.9847,0,0,0,888580.7166,
12,01/01/2019,801944.1197,539917.0766,1544410.869,801944.1197,801944.1197,250250.5181,250250.5181,250250.5181,250250.5181,250250.5181,250250.5181,0,0,0,1052194.638,
13,01/02/2019,844948.5074,109745.1847,1189837.572,844948.5074,844948.5074,-202796.726,-202796.726,-202796.726,-202796.726,-202796.726,-202796.726,0,0,0,642151.7814,
14,01/03/2019,883791.1802,79733.91993,1094321.1,883791.1802,883791.1802,-288874.2937,-288874.2937,-288874.2937,-288874.2937,-288874.2937,-288874.2937,0,0,0,594916.8865,
15,01/04/2019,926795.568,612902.0694,1641461.643,926795.568,926795.568,177479.4492,177479.4492,177479.4492,177479.4492,177479.4492,177479.4492,0,0,0,1104275.017,
16,01/05/2019,968412.7174,607161.8952,1667442.989,968412.7174,968412.7174,138160.4294,138160.4294,138160.4294,138160.4294,138160.4294,138160.4294,0,0,0,1106573.147,
17,01/06/2019,1011417.105,698196.7914,1784148.933,1011417.105,1011417.105,209571.6688,209571.6688,209571.6688,209571.6688,209571.6688,209571.6688,0,0,0,1220988.774,
18,01/07/2019,1053034.255,935790.02,1982974.31,1053034.255,1053034.255,407607.1867,407607.1867,407607.1867,407607.1867,407607.1867,407607.1867,0,0,0,1460641.441,
19,01/08/2019,1096038.642,691420.9769,1749921.962,1096038.642,1096038.642,130512.8927,130512.8927,130512.8927,130512.8927,130512.8927,130512.8927,0,0,0,1226551.535,
20,01/09/2019,1139043.03,894161.2517,1976063.338,1139043.03,1139043.03,315638.1752,315638.1752,315638.1752,315638.1752,315638.1752,315638.1752,0,0,0,1454681.205,
21,01/10/2019,1180660.179,757489.7917,1783433.966,1180660.179,1180660.179,74212.19168,74212.19168,74212.19168,74212.19168,74212.19168,74212.19168,0,0,0,1254872.371,
22,01/11/2019,1223664.567,358277.5212,1376077.661,1223664.567,1223664.567,-365065.6838,-365065.6838,-365065.6838,-365065.6838,-365065.6838,-365065.6838,0,0,0,858598.8834,
23,01/12/2019,1265281.717,1148164.422,2177523.549,1265281.717,1265281.717,385810.6626,385810.6626,385810.6626,385810.6626,385810.6626,385810.6626,0,0,0,1651092.379,
24,01/01/2020,1308286.104,1137215.676,2162870.353,1308286.104,1308286.104,356929.4071,356929.4071,356929.4071,356929.4071,356929.4071,356929.4071,0,0,0,1665215.512,
25,01/02/2020,1351290.492,370278.2058,1440903.399,1351290.492,1351290.492,-420620.7937,-420620.7937,-420620.7937,-420620.7937,-420620.7937,-420620.7937,0,0,0,930669.6985,
26,01/03/2020,1391520.403,1020893.268,2072323.207,1391520.403,1391520.403,175561.4934,175561.4934,175561.4934,175561.4934,175561.4934,175561.4934,0,0,0,1567081.897,
27,01/04/2020,1434524.791,233019.6521,1340157.499,1434524.791,1434524.791,-640359.6638,-640359.6638,-640359.6638,-640359.6638,-640359.6638,-640359.6638,0,0,0,794165.1273,
28,01/05/2020,1476141.94,1024593.258,2061910.741,1476141.94,1476141.94,62120.11378,62120.11378,62120.11378,62120.11378,62120.11378,62120.11378,0,0,0,1538262.054,
29,01/06/2020,1519146.328,1692334.094,2712060.482,1519146.328,1519146.328,690995.224,690995.224,690995.224,690995.224,690995.224,690995.224,0,0,0,2210141.552,
30,01/07/2020,1560763.478,1400933.552,2416531.902,1560763.478,1560763.478,314421.5055,314421.5055,314421.5055,314421.5055,314421.5055,314421.5055,0,0,0,1875184.983,
31,01/08/2020,1603767.865,646022.8806,1701322.362,1603767.865,1603767.865,-428296.4439,-428296.4439,-428296.4439,-428296.4439,-428296.4439,-428296.4439,0,0,0,1175471.422,
32,01/09/2020,1646772.253,1879123.04,2879556.488,1646772.253,1646772.253,770301.9474,770301.9474,770301.9474,770301.9474,770301.9474,770301.9474,0,0,0,2417074.201,
33,01/10/2020,1688389.403,1390480.091,2517347.426,1688389.403,1688389.403,274523.6292,274523.6292,274523.6292,274523.6292,274523.6292,274523.6292,0,0,0,1962913.032,
34,01/11/2020,1731393.79,1089962.427,2164487.27,1731393.79,1731393.79,-116505.9807,-116505.9807,-116505.9807,-116505.9807,-116505.9807,-116505.9807,0,0,0,1614887.81,
35,01/12/2020,1773010.94,882910.6453,1940990.502,1773010.94,1773010.94,-377996.0063,-377996.0063,-377996.0063,-377996.0063,-377996.0063,-377996.0063,0,0,0,1395014.933,1.487247393
36,01/01/2021,1816015.328,1310315.734,2330460.143,1816015.328,1816015.328,15466.01831,15466.01831,15466.01831,15466.01831,15466.01831,15466.01831,0,0,0,1831481.346,
37,01/02/2021,1859019.715,1596209.129,2594533.893,1859019.715,1859019.715,219294.3514,219294.3514,219294.3514,219294.3514,219294.3514,219294.3514,0,0,0,2078314.067,
38,01/03/2021,1897862.388,1373144.482,2406675.095,1897862.388,1897862.388,14195.94068,14195.94068,14195.94068,14195.94068,14195.94068,14195.94068,0,0,0,1912058.329,
39,01/04/2021,1940866.776,1087437.319,2092550.067,1940866.776,1940866.776,-371208.1383,-371208.1383,-371208.1383,-371208.1383,-371208.1383,-371208.1383,0,0,0,1569658.638,
40,01/05/2021,1982483.925,1556101.294,2606494.386,1982483.925,1982483.925,92248.3984,92248.3984,92248.3984,92248.3984,92248.3984,92248.3984,0,0,0,2074732.324,
41,01/06/2021,2025488.313,2010222.852,3095445.357,2025488.313,2025488.313,531232.8639,531232.8639,531232.8639,531232.8639,531232.8639,531232.8639,0,0,0,2556721.177,
42,01/07/2021,2067105.462,1942274.708,2940352.782,2067105.462,2067105.462,342162.8143,342162.8143,342162.8143,342162.8143,342162.8143,342162.8143,0,0,0,2409268.277,
43,01/08/2021,2110109.85,1351581.304,2406067.974,2110109.85,2110109.85,-239776.4088,-239776.4088,-239776.4088,-239776.4088,-239776.4088,-239776.4088,0,0,0,1870333.441,
44,01/09/2021,2153114.238,2302289.041,3265606.288,2153114.238,2153114.238,622597.5893,622597.5893,622597.5893,622597.5893,622597.5893,622597.5893,0,0,0,2775711.827,
45,01/10/2021,2194731.387,1869399.313,2866578.708,2194731.387,2194731.387,206085.364,206085.364,206085.364,206085.364,206085.364,206085.364,0,0,0,2400816.751,
46,01/11/2021,2237735.775,1518488.67,2540864.88,2237735.775,2237735.775,-204736.3105,-204736.3105,-204736.3105,-204736.3105,-204736.3105,-204736.3105,0,0,0,2032999.465,
47,01/12/2021,2279352.925,1610481.468,2681098.529,2279352.925,2279352.925,-125067.308,-125067.308,-125067.308,-125067.308,-125067.308,-125067.308,0,0,0,2154285.617,
48,01/01/2022,2322357.312,1929887.356,2961450.882,2322357.312,2322357.313,136382.1814,136382.1814,136382.1814,136382.1814,136382.1814,136382.1814,0,0,0,2458739.494,
49,01/02/2022,2365361.7,1851055.61,2869944.057,2365361.699,2365361.701,10595.66335,10595.66335,10595.66335,10595.66335,10595.66335,10595.66335,0,0,0,2375957.363,
50,01/03/2022,2404204.373,1773887.37,2786705.991,2404204.371,2404204.375,-140670.3145,-140670.3145,-140670.3145,-140670.3145,-140670.3145,-140670.3145,0,0,0,2263534.058,
51,01/04/2022,2447208.761,1815318.925,2853388.184,2447208.758,2447208.764,-98502.07242,-98502.07242,-98502.07242,-98502.07242,-98502.07242,-98502.07242,0,0,0,2348706.688,
52,01/05/2022,2488825.91,2100686.401,3134472.574,2488825.906,2488825.914,117616.9499,117616.9499,117616.9499,117616.9499,117616.9499,117616.9499,0,0,0,2606442.86,
53,01/06/2022,2531830.298,2349329.873,3434373.16,2531830.292,2531830.303,370705.3238,370705.3238,370705.3238,370705.3238,370705.3238,370705.3238,0,0,0,2902535.622,
54,01/07/2022,2573447.447,2440512.271,3469245.018,2573447.44,2573447.454,373238.3994,373238.3994,373238.3994,373238.3994,373238.3994,373238.3994,0,0,0,2946685.847,
55,01/08/2022,2616451.835,2058573.894,3084436.383,2616451.826,2616451.843,-53447.95819,-53447.95819,-53447.95819,-53447.95819,-53447.95819,-53447.95819,0,0,0,2563003.877,
56,01/09/2022,2659456.223,2625234.37,3625655.011,2659456.212,2659456.232,470993.5577,470993.5577,470993.5577,470993.5577,470993.5577,470993.5577,0,0,0,3130449.78,
57,01/10/2022,2701073.372,2291433.285,3358773.466,2701073.36,2701073.384,139266.7693,139266.7693,139266.7693,139266.7693,139266.7693,139266.7693,0,0,0,2840340.141,
58,01/11/2022,2744077.76,1920572.216,2961820.159,2744077.746,2744077.773,-287606.1735,-287606.1735,-287606.1735,-287606.1735,-287606.1735,-287606.1735,0,0,0,2456471.586,
59,01/12/2022,2785694.909,2406941.907,3433491.477,2785694.893,2785694.925,129640.9847,129640.9847,129640.9847,129640.9847,129640.9847,129640.9847,0,0,0,2915335.894,
60,01/01/2023,2828699.297,2550351.603,3600680.217,2828699.278,2828699.315,250250.5181,250250.5181,250250.5181,250250.5181,250250.5181,250250.5181,0,0,0,3078949.815,
61,01/02/2023,2871703.685,2165354.175,3215893.312,2871703.664,2871703.705,-202796.726,-202796.726,-202796.726,-202796.726,-202796.726,-202796.726,0,0,0,2668906.959,
62,01/03/2023,2910546.358,2142929.863,3111982.064,2910546.335,2910546.38,-288874.2937,-288874.2937,-288874.2937,-288874.2937,-288874.2937,-288874.2937,0,0,0,2621672.064,
63,01/04/2023,2953550.745,2597256.575,3633281.982,2953550.72,2953550.771,177479.4492,177479.4492,177479.4492,177479.4492,177479.4492,177479.4492,0,0,0,3131030.195,
64,01/05/2023,2995167.895,2599250.263,3625190.645,2995167.867,2995167.924,138160.4294,138160.4294,138160.4294,138160.4294,138160.4294,138160.4294,0,0,0,3133328.324,
65,01/06/2023,3038172.283,2740303.587,3760341.546,3038172.252,3038172.314,209571.6688,209571.6688,209571.6688,209571.6688,209571.6688,209571.6688,0,0,0,3247743.951,
