District_of_Paris,District_Name,District_Full
75001,Louvre,01 - Louvre
75002,Bourse,02 - Bourse
75003,Temple,03 - Temple
75004,Hotel-de-Ville,04 - Hotel-de-Ville
75005,Pantheon,05 - Pantheon
75006,Luxembourg,06 - Luxembourg
75007,Palais-Bourbon,07 - Palais-Bourbon
75008,Elysee,08 - Elysee
75009,Opera,09 - Opera
75010,Entrepot,10 - Entrepot
75011,Popincourt,11 - Popincourt
75012,Reuilly,12 - Reuilly
75013,Gobelins,13 - Gobelins
75014,Observatoire,14 - Observatoire
75015,Vaugirard,15 - Vaugirard
75016,Passy,16 - Passy
75017,Batignolles-Monceau,17 - Batignolles-Monceau
75018,Butte-Montmartre,18 - Butte-Montmartre
75019,Buttes-Chaumont,19 - Buttes-Chaumont
75020,Menilmontant,20 - Menilmontant
