ID,Counter_Name,Bikes_Recorded,Year,hour,Date_Full
100036719,18 quai de l'hotel de ville NO-SE,33,2018,10,01/05/2018
100044495,7 Avenue de la Grande Armée NO-SE,1,2018,2,01/10/2018
100007049,28 Boulevard Diderot O-E,17,2018,19,01/06/2018
100044493,67 boulevard Voltaire SE-NO,49,2018,22,01/10/2018
100044495,7 Avenue de la Grande Armée NO-SE,0,2018,1,01/08/2018
100044506,72 boulevard Voltaire NO-SE,176,2018,16,01/11/2018
100036718,39 Quai François Mauriac SE-NO,2,2018,23,01/04/2018
100041488,27 Boulevard Diderot E-O,1,2018,23,01/08/2018
100036719,18 quai de l'hotel de ville NO-SE,1,2018,1,01/03/2018
100042374,Voie Georges Pompidou SO-NE,11,2018,20,01/12/2018
100003099,100 Rue La Fayette O-E,29,2018,8,01/10/2018
100047547,6 rue Julia Bartet SO-NE,11,2018,6,01/12/2018
100007049,28 Boulevard Diderot E-O,4,2018,15,01/02/2018
100044493,67 boulevard Voltaire SE-NO,9,2018,20,01/12/2018
100044495,7 Avenue de la Grande Armée NO-SE,1,2018,23,01/08/2018
100003099,100 Rue La Fayette O-E,55,2018,11,01/11/2018
100041488,27 Boulevard Diderot E-O,18,2018,21,01/07/2018
100042374,Voie Georges Pompidou NE-SO,26,2018,19,01/04/2018
100006300,135 Avenue Daumesnil SE-NO,1,2018,1,01/03/2018
100047536,102 Bd magenta SE-NO,39,2018,8,01/12/2018
100036718,39 Quai François Mauriac SE-NO,20,2018,9,01/04/2018
100003099,100 Rue La Fayette O-E,7,2018,0,01/03/2018
100044495,7 Avenue de la Grande Armée NO-SE,1,2018,2,01/11/2018
100036719,18 quai de l'hotel de ville SE-NO,11,2018,19,01/04/2018
100006300,135 Avenue Daumesnil SE-NO,51,2018,14,01/11/2018
100036719,18 quai de l'hotel de ville SE-NO,4,2018,22,01/12/2018
100003096,97 Avenue Denfert Rochereau SO-NE,0,2018,2,01/03/2018
100036719,18 quai de l'hotel de ville SE-NO,5,2018,4,01/04/2018
100003097,105 Rue La Fayette E-O,11,2018,22,01/05/2018
100036718,39 Quai François Mauriac NO-SE,27,2018,19,01/06/2018
100003096,97 Avenue Denfert Rochereau SO-NE,11,2018,21,01/11/2018
100042374,Voie Georges Pompidou SO-NE,10,2018,10,01/01/2018
100003098,106 Avenue Denfert Rochereau NE-SO,0,2018,3,01/12/2018
100003096,97 Avenue Denfert Rochereau SO-NE,32,2018,14,01/12/2018
100041488,27 Boulevard Diderot E-O,17,2018,19,01/11/2018
100042374,Voie Georges Pompidou NE-SO,4,2018,0,01/10/2018
100044506,72 boulevard Voltaire NO-SE,15,2018,6,01/10/2018
100044506,72 boulevard Voltaire NO-SE,5,2018,3,01/10/2018
100044506,72 boulevard Voltaire NO-SE,256,2018,17,01/11/2018
100003099,100 Rue La Fayette O-E,48,2018,20,01/04/2018
100042374,Voie Georges Pompidou NE-SO,97,2018,7,01/09/2018
100003099,100 Rue La Fayette O-E,121,2018,14,01/09/2018
100007049,28 Boulevard Diderot E-O,0,2018,3,01/09/2018
100003097,105 Rue La Fayette E-O,69,2018,9,01/08/2018
100047534,16 Avenue de la Porte des Ternes E-O,32,2018,8,01/12/2018
